;n;hit;total;percent
0;0;736;800;0.92
1;1;736;800;0.92
2;2;739;800;0.92375
3;3;727;800;0.90875
4;4;735;800;0.91875
5;5;726;800;0.9075
6;6;744;800;0.93
7;7;734;800;0.9175
8;8;732;800;0.915
9;9;740;800;0.925
10;10;741;800;0.92625
11;11;745;800;0.93125
12;12;743;800;0.92875
13;13;729;800;0.91125
14;14;724;800;0.905
15;15;735;800;0.91875
16;16;734;800;0.9175
17;17;733;800;0.91625
18;18;725;800;0.90625
19;19;731;800;0.91375
20;20;738;800;0.9225
21;21;742;800;0.9275
22;22;744;800;0.93
23;23;751;800;0.93875
24;24;730;800;0.9125
25;25;729;800;0.91125
26;26;738;800;0.9225
27;27;735;800;0.91875
28;28;730;800;0.9125
29;29;742;800;0.9275
